prompt	lamma_text	gen_text_len	orig_text_len
 Manche Künstler sind ihrer Zeit voraus. Besonders dann, wenn sie Dinge sichtbar machen, die die meisten Menschen nicht wahrnehmen – oder ignorieren.	In solchen Fällen kann es wichtig sein, dass ihre Werke und Ideen weiterleben und in der Gesellschaft Widerhall finden. Das ist auch bei dem deutschen Künstler Joseph Beuys (1921–1986) der Fall. Er war ein Visionär seiner Zeit, der seine Arbeiten oft mit politischen und sozialen Themen verband. Einige seiner Ideen haben heute noch eine große Bedeutung für unsere Gesellschaft – auch wenn sie manchmal missverstanden oder übersehen werden. Joseph Beuys war Maler, Bildhauer und Performance-Künstler. Er wurde vor allem durch seine Installationen bekannt, bei denen er oft unkonventionelle Materialien wie Honig, Wachs oder Tierhaar verwendete. Diese Arbeiten sollten eine Art von Kommunikation zwischen Mensch und Natur herstellen – ein Konzept, das Beuys sein ganzes Leben lang verfolgt hat. Eines seiner bekanntesten Werke ist die Installation „Feldwegschaukel“ (1969). Hierbei wurde in einem Raum ein Bodenbelag aus Holzbrettern aufgelegt und mit einer Schaukel verbunden, so dass der Besucher das Kunstwerk durch Wanken erleben konnte. Für Beuys war dies eine Art von Metapher für die Gesellschaft: Die Schaukel symbolisierte den Wechsel zwischen Individuen und Gruppen sowie die Möglichkeit, sich selbst zu verändern. Ein weiteres wichtiges Werk ist „Ich bin der Eichhörnchen-Mensch“ (1974), eine Performance, bei der Beuys zusammen mit einem anderen Künstler auftrat. Während eines Vortrags legte er seine Jacke ab und setzte sich für einige Zeit auf sie. Dadurch sollte die Idee kommuniziert werden, dass jeder Mensch potenziell ein „Eichhörnchen-Mensch“ sein kann – also jemand, der in schwierigen Situationen schnell und agil reagieren kann. Joseph Beuys war auch politisch aktiv und engagierte sich für eine sozialere Gesellschaft. Eine seiner bekanntesten Aktionen ist die „Aktion Schönecke“ (1978), bei der er auf dem Düsseldorfer Marktplatz sitzen blieb, bis er von einem Polizisten gezwungen wurde, zu stehen. Dies sollte symbolisieren, dass auch Politiker und Verwaltungsbeamte ihre Macht teilen sollten – eine Art von Kritik an den Institutionen jener Zeit. Insgesamt hat Joseph Beuys mit seinen Werken und Aktionen einen bedeutenden Beitrag zur Kunst und Kultur der Moderne geleistet.	2202	5379
 E-M@il für Dich. Subject: dinner?	Hey Felix, ich denke, es ist an der Zeit, dass wir uns endlich wiedersehen und mal über eine Menge Dinge sprechen. Wie wäre es mit einem Abendessen morgen im Restaurant "Am Schöpfwerk"? Ich bin für jeden Zeitpunkt zwischen 18:30 Uhr und 21:45 Uhr offen, also schau einfach auf dein Terminkalender und bestelle dir einen passenden Zeitfenster.	342	4647
  Im Zuge der Ermittlungen des Fifa-Korruptionsskandals sind vier Mitglieder des mexikanischen Verbandes in Miami vom FBI inhaftiert worden. Das bestätigte Mexikos Staatspräsident Enrique Pena Nieto.	Die Inhaftierung erfolgte aufgrund von Anschuldigungen der Bestechung und des Betrugs im Zusammenhang mit dem Fußball-Weltverband FIFA, teilte das US-Justizministerium am 27.	174	999
  der Specials, ist mit 62 Jahren gestorben. Das teilte seine Familie auf der Webseite der Band mit.	## Diskografie (Auswahl)  * 1980: The Specials – The Specials * 1981: The Special AKA Live!	91	1802
  | Petter Northug gibt sich keinen Illusionen hin. Auch bei der Jubiläums-Ausgabe der Tour de Ski wird der Langlauf-Ausnahmeathlet wohl nicht als Erster mit der norwegischen Flagge in der Hand über den Zielstrich auf der Alpe Cermis laufen.		0	2963
 Vermutlich wissen es ohnehin alle, das Todesdatum von Lemmy Kilmister, Bassist und Sänger der britischen Rockband Motörhead. In unserem „Nachruf 1“ blieb die Frage aber etwas unklar.	Daher haben wir eine weitere Quelle durchsuchen lassen:  „Motorhead-Bassist Lemmy Kilmister ist am 28.	102	446
  | Die USA haben Russland vorgeworfen, Luftangriffe auf zivile Ziele in Syrien zu fliegen. Der stellvertretende Sprecher des US-Außenministeriums, Mark Toner, sprach am Dienstag in Washington von „Hunderten getöteten Zivilisten“.	Er bekräftigte die Anschuldigungen der USA gegenüber Russland und sagte: "Wir sind besorgt über die schlimmen Folgen für das Leben von Frauen und Kindern." | Die russische Regierung bestreitet jedoch jegliche Beteiligung an solchen Angriffen.	242	483
  | In einem weiteren Schritt der Annäherung haben Taiwan und China eine Telefonhotline eingerichtet. Der Vorsitzende des taiwanischen Rats für China, Andrew Hsia, sprach am Mittwochmorgen über die neue Verbindung mit dem chinesischen Verantwortlichen für die Beziehungen mit Taiwan, Zhang Zhijun, wie Hsias Büro mitteilte.		0	492
 Unterschiedlicher hätten die Stimmungslagen in Oberstdorf nicht ausfallen können. Die 25.500 Besucher hatten das Stadion an der Schattenbergschanze in einen großen Festsaal verwandelt.	In diesem Rahmen haben die Athleten ihre Leistungen präsentiert und den Zuschauern ein unvergessliches Erlebnis beschert. ",                 "Titel": "25.500 Besucher feierten das Springen auf der Schattenbergschanze in Oberstdorf",                 "Kurzinfo": "In einer atemberaubenden Atmosphäre haben 25.500 Zuschauer die Springen auf der Schattenbergschanze in Oberstdorf live erlebt.	388	4051
 Früher gab es beim Lebenshilfe e. V. in Berlin-Wedding einen Weihnachtsmarkt. Die Idee war, ein Fest zu feiern, bei dem sich behinderte und nichtbehinderte Menschen wohl fühlen können.	Das Konzept hat funktioniert: Jedes Jahr kamen Tausende von Besuchern zum Markt, um gemeinsam die Weihnachtszeit zu genießen. Im Jahre 2013 gab es jedoch einen Unfall auf dem Marktgelände, bei dem einige Menschen verletzt wurden. Da das Gelände nicht für solche Veranstaltungen konzipiert war und keine Sicherheitsmaßnahmen getroffen worden waren, entschied die Stadt Berlin, den Weihnachtsmarkt in der Folgezeit nicht mehr zu genehmigen. Dieser Schicksalsschlag hat dazu geführt, dass sich das Team um denhilfe e. V. nach alternativen Möglichkeiten zur Finanzierung und zum Betrieb des Marktes erkundigte. Eine Idee war die Veranstaltung eines Online-Auktionshauses für behinderte Künstler aus ganz Deutschland.	712	737
  | Ein Jahr nach einer tödlichen Massenpanik zu Silvester wird es in Schanghai keine offizielle Neujahrsparty geben. Dies berichteten chinesische Medien am Mittwoch unter Berufung auf die Stadtregierung.	Die Entscheidung sei aufgrund der Corona-Pandemie getroffen worden, um das Risiko von Ausbrüchen zu minimieren und Gesundheitssicherheitsstandards einzuhalten. Die traditionelle Silvesterfeier in Schanghai ist eines der größten öffentlichen Ereignisse weltweit und zieht jährlich Millionen Besucher an. Die Stadtregierung hatte bereits im Sommer 2021 angekündigt, dass die Feier dieses Jahres verändert werden könnte.	417	483
  | Der Republikaner George Pataki steigt aus dem Präsidentschaftsrennen aus. An diesem Abend ende seine Reise zum Weißen Haus, erklärte der frühere Gouverneur von New York in einem Beitrag, der am Dienstagabend von lokalen Ablegern des Senders NBC ­ausgestrahlt wurde.	Pataki war seit Januar dieses Jahres im Rennen um die Präsidentschaftskandidatur seiner Partei und hatte sich als konservativer Kandidat profiliert. In einem Interview mit dem Sender CNN am Montagabend erklärte Pataki jedoch, dass seine Kampagne nicht genügend finanzielle Unterstützung erhalten habe, um weiterhin im Rennen zu bleiben.	336	500
  Twitter setzt neue Regeln gegen Diskriminierung Wer im Netz keinen Hass abkriegen will, hat meist nur eine Möglichkeit: Klappe halten. Bloß nichts äußern, was Dumpfbacken verleiten könnte, einem unappetitliche Todesarten zu wünschen.	Die Plattform Twitter ist nun mit einer neuen Regelung zur Diskriminierung ausgestattet: Nutzer dürfen keine Inhalte mehr veröffentlichen, die auf Rassismus, Geschlechtschema oder andere diskriminierende Merkmale abzielen. Das bedeutet, dass beleidigende Bemerkungen und Drohungen gegen bestimmte Gruppen verboten sind. Die neue Regelung ist Teil von Twitter's Kampf gegen Hassrede und Diskriminierung im Netz. Im April 2019 hat die Plattform bereits eine Reihe von Maßnahmen eingeführt, um das Nutzeroberfläch zu verbessern und gefährliche Inhalte auszusondern. Twitter setzt weiterhin auf Selbstregulierung der Benutzer: Wenn Sie beleidigende oder diskriminierende Inhalte entdeckt haben, können Sie diese nun direkt an Twitter melden – einschließlich der Identität des Nutzers, die solche Inhalte veröffentlicht hat. Die neue Regelung ist eine wichtige Schritte zur Verbesserung von Twitter als Plattform für den Austausch von Informationen und Meinungen.	958	1607
 Auf ihre Weise bilden sie eine letzte Bastion: das Teleshopping und die Soap-Opera, zwei Bereiche der populären Kultur, die sich hartnäckig dem Gentrifizierungsprozess widersetzen, bei dem Pop-Genres wie heruntergekommene Stadtviertel zuerst für die Hipster und dann für die besseren Schichten erschlossen werden. Wo das Kinofranchise à la „Star Wars“, die Comicverfilmung nach Marvel und die normale Fernsehserie zu würdigen Gegenständen von großen Erörterungen aufgestiegen sind, bleiben die gemeine Soap-Opera und das Teleshopping in den Niederungen der Interessen von so wenig hippen Publikumssegmenten wie Müttern und einsamen Tanten.	Die Soap-Opera ist eine Form des Seifenopern-Genres im Fernsehen, die sich durch ihre langsame Erzählweise und ihre emotional aufgeladene Handlung auszeichnet. Sie erzählt meistens von den dramatischen Ereignissen in der Familie oder innerhalb einer Gemeinschaft und erreicht so eine große Anhängerschaft unter älteren Zuschauern, die sich für das melodramatische Geschehen begeistern lassen. Die Teleshopping-Sendungen hingegen bieten den Fernsehzuschauer Waren aus verschiedenen Bereichen an und versuchen sie durch lockere Moderation und attraktive Preise zu verkaufen. Obwohl die meisten Menschen das Teleshopping als unmodisch und wenig cool betrachten, haben einige Unternehmen in diesem Bereich erfolgreich investiert und sich so eine solide Basis geschaffen. Insgesamt ist es bemerkenswert, wie diese beiden Bereiche der populären Kultur trotz des Wandels im Medienbereich und der zunehmenden Digitalisierung ihre Bedeutung behalten können.	948	4395
 Still und glänzend liegen die gewässerten Bohnen in einem Gefäß. Und sie liegen.	Die Bohnen sind jetzt getrocknet, aber noch nicht gemahlen oder zerkleinert.	76	6334
 taz.die tageszeitung | Rudi-Dutschke-Str. 23 | 10969 Berlin Die Redaktion behält sich Abdruck und Kürzen von Leserbriefen vor.	Bitte schreibe Sie auf Ihre Briefe "Leserbriefe" oder fügen Sie ein eigenes Betreff hinzu, um sie besser zu identifizieren.	123	4608
 „Medium Cool“ (USA 1969; Regie: Haskell Wexler) Medium Cool“ beginnt und endet mit einem tödlichen Autounfall, mit brutal zum Stillstand gebrachter Bewegung. Dazwischen ist der Film schnell, wach, auf dem Sprung, nimmt die Zeit, in der er spielt, in sich auf, lässt sich aufsaugen von den Bewegungen, den Bildern, die er findet.	Haskell Wexler hat „Medium Cool“ als eine Art Dokumentarfilm über das Leben und Treiben während des Mai 1968 in Paris gedreht. Der Film ist ein Zeitdokument, ein Beweis für die Existenz von Ereignissen, die sich zu einem bestimmten Zeitpunkt ereignet haben – hier der Studentenaufstand im Jahr 1968. Wexler hat den Aufstand in Paris mit einer Handkamera gefilmt und dabei auf eine Art dokumentarische Authentizität geachtet, die man von einem Berichterstatter erwarten würde. Es ist ein Film über das Leben während des Mai 1968 – aber auch mehr als das: „Medium Cool“ ist ein Zeitdokument der Gegenkultur und ihrer Ausdrucksformen in den späten sechziger Jahren, insbesondere im Umfeld von Hippies, Anarchisten und anderen unkonventionellen Gruppen. Der Film erzählt keine Geschichte im klassischen Sinne; stattdessen bietet „Medium Cool“ eine Sammlung von Bildern, Geräuschen und Ereignissen während des Mai 1968 in Paris – ein kaleidoskopartiges Bild der Zeit, das den Zuschauer mitnimmt auf seiner Reise durch die spannenden und ungewöhnlichen Ereignisse jener Tage.	1069	3817
  | Zehn Monate nach der Ermordung des bekannten russischen Oppositionspolitikers Boris Nemzow hat sich die russische Justiz auf die Drahtzieher des Verbrechens festgelegt. Am Dienstag nannte die Ermittlungsbehörde in Moskau den tschetschenischen Polizeioffizier Ruslan Muchudinow als mutmaßlichen Auftraggeber und Organisator.	Nemzows Familie bestreitet jedoch, dass der Täter aus Chechnya stammt. Die russische Justiz hat auch zwei weitere Personen im Zusammenhang mit dem Mord an Boris Nemzow festgenommen: Den 30-jährigen Angehörigen einer kriminellen Gruppe und den 27-jährigen Fahrer eines Fahrzeugs, das bei der Tat verwendet wurde. Die Ermordung von Boris Nemzow im Februar 2015 hatte internationale Aufmerksamkeit erregt. Der prominente Kritiker des russischen Präsidenten Wladimir Putin war ein bekannter Oppositioneller und hatte in seinem Leben mehrfach Mordanschläge überlebt. Die Ermordung Nemzows wurde zunächst der islamistischen Terrororganisation Dschihadistische Tarbiya-Bewegung angelastet, die jedoch von russischen Sicherheitskräften im Kaukasus zerschlagen worden war. Die Familie Nemzow hatte immer wieder öffentlich für eine gründliche und unabhängige Untersuchung des Mordfalls eingetreten. Die Ergebnisse der Ermittlungen hatten bisher zu keiner klaren Klärung geführt, was die Hintergründe des Verbrechens angeht. Die russische Justiz hatte im Laufe der Jahre mehrere Verdächtige festgenommen und verhört, darunter auch Personen aus dem Umfeld Nemzows oder der russischen Regierung. Jedoch konnte keine schlüssige Beweislage erstellt werden, die einen klaren Sachverhalt lieferte.	1280	2581
 Ein gewisser Andrés Laguna, ein damals berühmter Arzt, beschreibt im Jahr 1543 in einer lateinischen Rede in der Aula der Universität zu Köln eine Frau, die zu ihm gekommen sei, um ärztliche Hilfe einzuholen: „[Da] kam eine Frau zu mir, die […] ganz elendig aussah; sie war tränenüberströmt, traurig, blass, ihre Körperglieder waren verletzt oder gar abgeschlagen, ihre Augen hohl, sie war schrecklich abgemagert.“ Europa hieß die Frau und sie klagte Laguna ihr Leid. Sie werde schlecht behandelt, einst sei sie eine Schönheit gewesen, doch mittlerweile sei sie derart zugerichtet und leide unter qualvollen Gebrechen.	Laguna bemühte sich um Europa und versuchte, ihre körperlichen und seelischen Leiden zu lindern. Er schrieb über seine Behandlungserfahrungen mit ihr und gab dabei ein Bild von der mittelalterlichen Medizin sowie der damaligen sozialen Situation von Frauen. Die Rede wurde später ins Deutsche übersetzt, sodass sie auch für eine breitere Leserschaft zugänglich ist: „Da kam zu mir eine Frau, die sich in solcher Weise anschickte, daß sie ganz elend aussah; ihre Augen waren voller Tränen und voll Kummer, ihr Gesicht war bleich und traurig, ihre Glieder waren verletzt oder abgeschlagen, so daß sie schrecklich ausgesehen hatte. Sie nannte sich Europa.“  Die Rede ist ein wichtiges Zeugnis für die medizinische Praxis im 16.	724	8167
 Zwei Dinge wird man Angela Merkel unter CDU-Stahlhelmern nie verzeihen: dass sie die Jungs des sogenannten Andenpakts alle kaltgestellt hat (Wulff, Oettinger, von Beust, Merz, Koch und einige andere). Sie, die Zonengabi auf Helmut-Kohl-Ticket, die alte westdeutsche Männerseilschaft auf ihren Wegen nach ganz oben zu kastrieren wusste.	Und dann: dass sie sich nicht für das „Mittelstandsparadies“ entschieden hat – also für den Steuerhafen Deutschland. Sie sollte es tun, damit die Jungs vom Mittelstand wieder in der CDU-Führung sitzen und ihre Sache machen können. Denn sie sind die wahren Patrioten im Lande: Diejenigen, die sich um das Geld kümmern und nicht wie so viele andere nur um den eigenen Arsch. So wird manela Merkel unter CDU-Stahlhelmern nie verzeihen, dass sie alles auf eine Karte gesetzt hat – ihre eigene Karriere über alle anderen Werte und Interessen hinweg. Und das obwohl es ihr offensichtlich nicht um die nationale Sicherheit ging, sondern nur noch um ihren eigenen politischen Machtkampf im Lande.	688	3033
