prompt	lamma_text	gen_text_len	orig_text_len
Bei der Identifikation dynamischer Systeme sind in der Praxis zahlreiche Aspekte zu berücksichtigen, die in diesem Kapitel ausführlich diskutiert werden. So sind technische und nichttechnische Randbedingungen zu beachten und theoretische Vorbetrachtungen und Voruntersuchungen durch Simulationsstudien durchzuführen.	Die Identifikation von Systemparametern erfordert auch eine sorgfältige Auswahl der Messmethoden, um die gewünschten Informationen über das System zu erhalten. Hierzu gehören unter anderem direkte und indirekte Messungen sowie experimentelle und numerische Methoden. In vielen Fällen ist es notwendig, mehrere Messverfahren kombiniert anzuwenden, um eine möglichst genauere Schätzung der Parameter durchzuführen. Ein weiterer wichtiger Aspekt bei der Identifikation von Systemparametern ist die Auswahl geeigneter Verfahren zur Datenanalyse und -interpretation. Hierbei kommen unter anderem statistische Methoden, Optimierungsverfahren sowie Regelungstheoretische Konzepte zum Einsatz. Die gewählten Analysetechniken müssen auf das jeweilige System abgestimmt sein und die spezifischen Anforderungen der Identifikationsprobleme erfüllen. Die Validierung von Modellen und Algorithmen ist ein weiterer wichtiger Schritt bei der Identifikation von Systemparametern.	962	1093
emotionale Entwicklung Entwicklung Entwicklung emotionale Man stelle sich folgende Situation vor: Ein junges Mädchen wird in den Raum eines Kindergartens gebracht, in dem ihr ein Versuchsleiter Süßigkeiten wie M&Ms, Marshmallows oder Brezeln zeigt. Anschließend erklärt der Versuchsleiter dem Mädchen, dass er den Raum „für eine Weile“ verlassen wird und dass es nun zwischen zwei Möglichkeiten wählen kann: Wenn es wartet, bis er in den Raum zurückkehrt, kann es zwei Süßigkeiten haben.	Alternativ könnte das Mädchen versuchen, die Tür zu öffnen und nach draußen zu sehen – aber wenn sie dies macht, bekommt sie keine Süßigkeit mehr. Das Mädchen wartet zunächst ab, ob der Versuchsleiter zurückkehrt oder nicht. Wenn es sich entscheidet, die Tür zu versuchen, kann man annehmen, dass es ein gewisses Maß an Ungeduld und Neugier entwickelt hat. Dies könnte auf eine emotionale Entwicklung hinweisen, bei der das Mädchen lernen sollte, seine Impulse besser in den Griff zu bekommen – zum Beispiel durch Entspannungstechniken oder Konzentrationstraining.	564	735
Im Fokus des Beitrags liegen die motivationsförderlichen Merkmale der Selbstauditierung hinsichtlich Partizipation, Autonomie und erlebte Sinnhaftigkeit und deren direkte Auswirkungen auf die Leistungsmotivation, Arbeitszufriedenheit und das Engagement der Mitarbeiter. Zu Beginn wird die Implementierung des Lean-Konzepts bei der Bauknecht Hausgeräte GmbH und die damit verbundenen Herausforderungen beschrieben.	Anschließend werden mögliche Lösungsansätze zur Steigerung von Partizipation, Autonomie und erlebter Sinnhaftigkeit in den Arbeitsprozessen dargestellt. Schließlich wird ein Modell für eine Selbstauditierung im Kontext der genannten Merkmale präsentiert, das auf die individuellen Bedürfnisse und Interessen der Mitarbeiter zugeschnitten ist. ## Implementierung des Lean-Konzepts bei Bauknecht Hausgeräte GmbH  Die Umsetzung von Lean-Prinzipien in der Produktion bedeutet für die Unternehmen eine Herausforderung, da sie zu einer kontinuierlichen Verbesserung der Arbeitsprozesse und -abläufe führen. Dabei soll das Unternehmen durch den Einsatz von Lean Methoden seine Effizienz erhöhen, Kosten senken und Qualität steigern (Koch et al., 201). Bei Bauknecht Hausgeräte GmbH wurde in der Vergangenheit bereits mit dem Einführen von Lean-Methoden begonnen.	855	841
Die bundesdeutsche Bevölkerung altert; dies ist zum einen durch eine sinkende Geburtenrate, aber auch durch eine gestiegene Lebenserwartung bedingt. Bereits 2010 waren in Deutschland rund 21% der Bevölkerung 65 Jahre und älter.	Diese Entwicklung führt zu einem Anstieg des Altersstrukturs und damit zu einer Verschiebung von Verantwortlichkeiten im gesellschaftlichen Zusammenhang hin zur jüngeren Generation, die nunmehr für das Wohl der Älteren verantwortlich ist (siehe auch: Generationenvertrag). Die Alterspyramide zeigt also eine veränderte Struktur mit einem höheren Anteil älterer Menschen und einer geringeren Zahl junger Leute. Diese Entwicklung hat Auswirkungen auf verschiedene Bereiche der Gesellschaft, wie z. B.:  1. Arbeitsmarkt: Durch die sinkende Geburtenrate gibt es einen Mangel an Arbeitskräften für zukünftige Berufe.	611	635
Wie bereits aufgeführt, wurde die Heimerziehung hinsichtlich ihrer Erziehungsansätze und Wirkungsweisen auf die Kinder und Jugendlichen nicht nur im Rahmender Heimkampagne kritisiert (vgl. Günder, 2007, S.23f).	Die Kritik an der Heimerziehung konzentrierte sich zunächst vor allem auf den Umgangston in den Einrichtungen und die mangelhafte Ausbildung der Erzieherinnen und -er (vgl. Günder, 2007, S.34f). Die Kritiker forderten eine Veränderung des Heimerziehungssystems hin zu einer mehr individuell orientierten Arbeit mit den Kindern und Jugendlichen sowie eine Verbesserung der Qualifikation der Erzieherinnen und -er (vgl. Günder, 2007, S.36f). Die Kritiker argumentieren dabei vor allem damit, dass die Heimerziehung nicht in der Lage ist, den individuellen Bedürfnissen von Kindern und Jugendlichen gerecht zu werden und ihnen somit keine Perspektive bietet (vgl. Günder, 2007, S.38f). Die Kritiker forderten daher eine Veränderung des Heimerziehungssystems hin zur Familienbildung oder alternativen Wohnformen für Kinder und Jugendliche in der Obhut von Erzieherinnen und -ern (vgl. Günder, 2007, S.41f).	902	1071
Ausgehend von der beschriebenen politischen Lage war es Adenauers Ziel, dem Bund eigene Polizeieinheiten zu verschaffen. Dieses Vorhaben war nur mit Zustimmung der Alliierten zu erreichen.	Am 16. Mai 1950 wurde die Bundespolizei als provisorische Lösung gegründet und am 24. Juni 1953 erfolgte ihre Umwandlung in eine dauerhafte Polizeibehörde. Die Bundesrepublik Deutschland hatte sich im Jahr 1951 verpflichtet, die Alliierten Kontrollkommissionen über alle ihrer Aktivitäten zu informieren und deren Zustimmung einzuholen. In diesem Zusammenhang wurde auch der Aufbau einer eigenen Polizei gefordert. Die Gründe für den Aufbau einer deutschen Polizeibehörde waren:  1. Die Alliierten Kontrollkommissionen forderten die Bildung einer deutschen Polizei, um ihre Kontrolle über das Land zu sichern. 2. Der Bund hatte keine eigenen Polizeieinheiten und war auf die Dienste der Länder angewiesen.	705	706
Soziokultur ist ein kulturpolitischer Programmbegriff, bezeichnet aber auch einen relativ neuen Einrichtungstypus. Dabei geht es um Selbstverwirklichungs- und Partizipationsbestrebungen der Akteure jenseits traditioneller Kultureinrichtungen.	Die Soziokultur bezieht sich auf die kulturelle Praxis von Menschen, Gruppen oder Institutionen in sozialen Kontexten und ist eng mit dem Konzept der Community Arts verbunden. Sie umfasst verschiedene Formen des künstlerischen Ausdrucks wie Musik, Tanz, Theater, bildende Kunst sowie kreative Projekte im Bereich Medien, Design und Architektur. Die Soziokultur kann als Gegenpol zur klassischen Kultur verstanden werden, die auf Institutionalisierung, Professionalisierung und Kommerzialisierung abzielt.	504	639
In der universitären Lehrerausbildung wird noch viel diskutiert, wie eine inklusive Lehrerausbildung aussehen kann, die Studierende auf die pädagogische Kooperation vorbereitet. Ausgehend von den obigen Ausführungen kann festgehalten werden, dass persönlichkeitsimmanente Haltungen tangiert sind, wenn es um pädagogische Kooperation geht.	Die Perspektive der Studierenden sollte dabei berücksichtigt werden und nicht nur diejenige der Lehrkräfte. Es ist wichtig, die individuellen Bedürfnisse und Vorstellungen der Studierenden zu beachten, um eine inklusive pädagogische Kooperation herzustellen. Ein weiterer Aspekt besteht darin, die Rolle von Selbstwahrnehmung und Selbsteinschätzung bei der Gestaltung einer inklusiven Lehrerausbildung zu berücksichtigen.	421	583
Kommunale Unternehmen haben in den vergangenen Jahren und Jahrzehnten erheblich an Ansehen gewonnen. Die an dieser Stelle zitierten pauschalen Verunglimpfungen sind deutlich weniger geworden, sicherlich auch wegen des zu erwartenden Gegenwindes, den allzu unqualifizierte, polemische Anwürfe entfachen würden.	Die Frage der Effizienz und Rentabilität ist in diesem Zusammenhang von besonderem Interesse. Es gibt jedoch keine eindeutigen Beweise dafür, dass kommunale Unternehmen im Vergleich zu privaten Konkurrenten bessere Ergebnisse liefern oder höhere Gewinne erwirtschaften. Vielmehr zeigt sich, dass die Effizienz und Rentabilität von kommunalen Unternehmen in hohem Maße von der individuellen Führung, dem Qualifikationsniveau der Mitarbeiter sowie den internen Strukturen abhängt. Ein weiterer Aspekt ist das Engagement für soziale Zwecke oder die Förderung regionaler Wirtschaftsentwicklung. Kommunale Unternehmen können in diesem Zusammenhang als Instrument dienen, um lokalen Bedürfnissen und Anliegen Rechnung zu tragen. Sie sind jedoch nicht unbedingt besser geeignet als private Konkurrenten, soziale Ziele oder regionale Entwicklung zu unterstützen. Insgesamt ist die Bedeutung von kommunalen Unternehmen in der Gesellschaft weitgehend anerkannt.	951	968
Obwohl viele psychotherapeutische Methoden darauf abzielen, Menschen zu einem authentischen und wahrhaftigen Lebensgefühl zu verhelfen, gibt es zu diesem Thema relativ wenige Veröffentlichungen. Dieses Kapitel stellt Erich Fromms Auffassung von der Selbstverwirklichung des Menschen, Donald Winnicotts entwicklungspsychologische Vorstellung vom wahren und vom falschen Selbst sowie Christopher Bollas Charakterkonzeption des „normotischen Charakters“ vor und erörtert die unterschiedlichen Ansätze.	1. Erich Fromms Konzept der Selbstverwirklichung: In seinem Hauptwerk „Zu einem gesellschaftlichen Ethos“ (1960) argumentiert Fromm, dass das Kapitalistische Wirtschaftssystem eine Art von Entfremdung erzeugt, die dazu führt, dass Menschen ihre Identität und ihr inneres Selbst verlieren. Die Suche nach Authentizität und Wahrhaftigkeit ist also auch ein Anliegen der Psychoanalyse, um den Menschen zu helfen, seine verlorenen Werte wiederzufinden. 2. Donald Winnicotts Konzept des wahren und falschen Selbst: In seinem Werk „Die Entwicklung des Kindes“ (1953) untersucht Winnicott die Entwicklungsprobleme von Säuglingen, insbesondere ihre Abhängigkeit von der Mutter. Er unterscheidet zwischen dem „wahren Selbst“, das auf eine starke Bindung an die Mutter abzielt und das „falsche Selbst“, bei dem das Kind versucht, seine emotionalen Bedürfnisse zu verdrängen oder sie anderswohin auszuweiten. Winnicotts Konzept zeigt, wie wichtig es ist, den Menschen in der frühen Entwicklung die Möglichkeit zur Entfaltung ihres wahren Selbsts zu geben. 3.	1047	1234
Es ist sehr wahrscheinlich, dass die ADHS-Problematik in den kommenden Jahren weiter zunehmen wird. Gründe dafür sind u. a. in der weltweiten Digitalisierung durch wachsende Nutzung von Smartphones und Social Media zu sehen.	Diese Technologien fördern das Übermitteln von Informationen, was dazu führt, dass Menschen vermehrt mit hohem Datenfluss konfrontiert werden. Auch die zunehmende Komplexität der Arbeitswelt trägt zur Verschärfung der ADHS-Problematik bei. Die Forderungen an Arbeitskraft und Intelligenz steigen, während gleichzeitig die Zeit für Entscheidungsfindung abnimmt. Dies kann dazu führen, dass Menschen mit ADHS-ähnlichen Symptomen noch mehr unter Druck geraten sind. Insgesamt ist es wichtig, auf die Bedürfnisse von Menschen mit ADHD/ADOS und anderen neurodiversen Fähigkeiten zuzugreifen.	586	745
Die erste gestellte Aufgabe in der Geschichte des Bundeswettbewerbs Mathematik ist ein kleines Zahlenspiel, in dem die Jahreszahl des Wettbewerbs eine Rolle spielt. Der Beitrag verfolgt neben der Lösung des Problems mit Hilfe des Invarianzprinzips vor allem das Ziel, ein Beispiel zu geben, wie man einen Beweis findet.	## Das Zahlenspiel  Gegeben seien drei Zahlen \(a\), \(b\) und \(c\). Die Aufgabe besteht darin, eine Gleichung zwischen den Jahreszahl des Bundeswettbewerbs Mathematik (z. B. 201) und diesen drei Zahlen zu finden. Dies kann durch folgende Rechnungen erreicht werden:  1. Wählen wir die Jahre \(a\), \(b\) und \(c\). Dann ist der Bruch \({\frac {a}{b}}\) ein Glied in der Gleichung, da er eine reelle Zahl beschreibt. 2. Setzen wir nun den Bruch \({\frac {a}{b}}\) gleich der Jahreszahl des Bundeswettbewerbs Mathematik (z. B. 201). Dann erhält man die Gleichung: ```scss    a/b = 201 ``` 3. Um diese Gleichung zu lösen, können wir versuchen, sie in eine Form zu bringen, bei der das Invarianzprinzip angewendet werden kann.	724	789
Die klassische Planung einer komplexen Dienstleistung stellt mit steigender Komplexität für alle beteiligten Akteure eine immer größer werdende Herausforderung dar. Ziel des ProLoDi-Projektes war es daher, ein Optimierungsmodell und ein Simulationswerkzeug zu entwickeln, welches von Projektmanagern und -planern als Entscheidungsunterstützung herangezogen werden kann.	Das Optimierungsmodell basiert auf dem PROLEMS-Modell (PROject LEVel of Difficulty for SMEs) und bietet eine einfache, aber effektive Methode zur Bewertung der Komplexität von Projekten. Das Modell berücksichtigt Faktoren wie die Projektgröße, -komplexität sowie externe Einflüsse und ermöglicht so eine schnelle und vergleichbare Beurteilung verschiedener Projekte. Das Simulationswerkzeug basiert auf dem PROLOG-Modell (PROject LOGistics) und bietet ein effektives Instrument zur Visualisierung, Planung und Optimierung von komplexen Projektabläufen. Das Werkzeug ermöglicht es den Benutzern, verschiedene Szenarien zu simulieren und so mögliche Probleme oder Verbesserungsmöglichkeiten frühzeitig aufzudecken. Die Kombination aus dem Optimierungsmodell und dem Simulationswerkzeug bietet Projektmanagern und -planern eine effektive Methode zur Bewertung, Planung und Optimierung von komplexen Projekten.	906	2381
Obwohl die DEA in der einschlägigen Wissenschaft eine nennenswerte Rolle spielt und als Verfahren relativer Effizienzmessung fest etabliert ist, muss festgestellt werden, dass sie in vergleichsweise wenigen Fällen tatsächlich den Führungspersonen in den betrachteten Einheiten als zentrales Element der Entscheidungsunterstützung dient. So diskreditiert sich die DEA aus Perspektive der Führungskräfte in Unternehmen und Organisationen durch teilweise realitätsferne Ergebnisse, die eine sinnvolle Interpretation offensichtlich nicht zulassen und ggf.	auch keine praktikablen Handlungsempfehlungen ergeben. Ein weiterer Kritikpunkt an der DEA ist ihre Anpassung auf spezifische Branchen oder Unternehmen, die in vielen Fällen aufgrund von Unterschieden im Produktionsprozess, Marktbedingungen und Organisation nicht direkt übertragbar sind. Daher ergeben sich bei der Anwendung der DEA oftmals unangemessene Vergleiche zwischen unterschiedlichen Branchen oder Unternehmen, die zu irreführenden Schlussfolgerungen führen können. Eine weitere Kritik an der DEA ist ihre Abhängigkeit von den verwendeten Daten und deren Qualität.	574	714
Intravenös applizierbare Chemotherapeutika stellen eine wesentliche Säule in der modernen uroonkologischen Therapie dar. Hocheffektive Therapien wie das PEB-Schema bei metastasierten Hodentumoren zeigen die enorme Wichtigkeit dieses Bereichs der Tumortherapie.	In diesem Artikel werden wir uns auf einige der wichtigsten intravenösen Chemotherapeutika konzentrieren, die in der Uroonkologie verwendet werden und ihre Effekte sowie mögliche Nebenwirkungen erläutern. 1. Mitoxantrone (Novaplus®) Mitoxantrone ist ein anthracyclin-Derivat mit einer hohen cytotoxischen Wirkung auf verschiedene Zelllinien, darunter auch solche von Hodenkrebs-Zellen. Es wird intravenös verabreicht und zeigt sich als wirksames Mittel bei metastasierten Hodentumoren sowie beim non-metastatischen Hodentumor in Kombination mit Bestrahlung oder anderen Chemotherapeutika. Nebenwirkungen von Mitoxantrone können Hautausschläge, Fühlenlassen der Finger und Zehen (Raynaud-Syndrom), Übelkeit, Erbrechen, Schmerzen in den Gelenken sowie Herzmuskelschädigung sein. 2.	779	815
Unternehmen kooperieren in den verschiedensten Bereichen ihrer Wertschöpfungskette und sind im Hinblick auf ihre Beschaffung, Forschung und Entwicklung, Produktion, Logistik sowie bei der Gestaltung von Absatzaktivitäten zumeist auf andere Unternehmen angewiesen. Durch Partizipation an Unternehmensnetzwerken erhoffen sich Firmen sog.	"Synergieeffekte" durch den Austausch von Informationen und Ressourcen, die zur Verbesserung der eigenen Wettbewerbsfähigkeit beitragen sollen (Kaplan & Norton 2006). Die Erforschung von Synergien ist ein wichtiges Thema in verschiedenen Disziplinen wie Betriebswirtschaftslehre, Ingenieurswesen oder Politikwissenschaft.	321	558
Im Rahmen dieses Werkes wurde unter Einbezug gesellschaftlicher Transformationsprozesse ein kritischer Blick auf das Gesunde Unternehmen geworfen. Die skizzierten Entwicklungen und auf die Zukunft projizierten Potenziale und Gefahren werden nun resümiert und unter Bezug auf die grundlegende Frage dieser Abhandlung „Das Gesunde Unternehmen: Utopie oder Dystopie?“ gewertet.	Die Entwicklung des gesunden Unternehmens kann als eine Mischung aus Fortschritt, Anpassungsprozessen und Unsicherheiten betrachtet werden. Auf der einen Seite haben die letzten Jahrzehnte zu einer stärkeren Berücksichtigung von Gesundheit und Umwelt geführt.	259	374
An beispielhaften Krankheitsbildern werden die Möglichkeiten des Pilates-Trainings in der Therapie und Rehabilitation vorgestellt. Patienten mit diesen Krankheitsbildern kommen im Alltag häufig in unseren Therapiezentren vor.	1. **Hüftgelenksarthritis**: Bei dieser Erkrankung leiden viele Menschen unter Schmerzen und Bewegungseinschränkungen an der Hüfte. Durch das Pilates-Training kann die Muskelstärke verbessert, die Gleichgewichtsbahn trainiert und dadurch die Beweglichkeit erhöht werden. 2. **Low Back Pain**: Schmerzen im unteren Rücken sind für viele Menschen ein tägliches Leid.	364	390
In diesem Kapitel lernen wir die wichtigsten Grundbegriffe und Konzepte der Mathematischen Statistik kennen. Hierzu gehören die Begriffe statistisches Modell, Verteilungsannahme, Schätzer, Maximum-Likelihood-Schätzmethode, Konfidenzbereich und statistischer Test.	1. Statistisches Modell: Ein mathematisch formalisiertes Szenario, das eine realistische Annahme über die zu schätzenden Parameter macht. Es gibt zwei Hauptkategorien von statistischen Modellen: deterministische Modelle (in denen alle Variablen als lineare Funktion der bekannten Variablen betrachtet werden) und stochastische Modelle (in denen die unbekannten Werte als Zufallsvariablen dargestellt werden). 2. Verteilungsannahme: Eine mathematische Beschreibung einer Wahrscheinlichkeitsverteilung, die man für bestimmte Variablen im statistischen Modell verwendet. Die wichtigsten Verteilungen sind die normale Verteilung (Gauß-Verteilung), die binomiale Verteilung und die poisson-Verteilung. 3.	699	711
In den letzten Kapiteln haben wir die wichtigsten Methoden und ihren Zusammenhang in einem nutzerorientierten Prozess vorgestellt. Damit die Techniken richtig eingesetzt werden können, müssen die projektspezifischen Ziele, Risiken und Rahmenbedingungen berücksichtigt werden.	In diesem Kapitel werfen wir einen Blick auf das Projektmanagement im Allgemeinen sowie speziell auf die Anforderungsanalyse, die Systemarchitektur, den Entwurf der Benutzeroberfläche (UI/UX-Design) und die Implementierung von Funktionen. 1. Projektmanagement: Projektmanagement ist das Koordinations-, Steuerungs- und Kontrollsystem zur Erreichung eines bestimmten Ziels innerhalb einer festgelegten Zeitperiode und mit einem festgelegten Budget. Es umfasst die Planung, Organisation, Kommunikation und Überwachung von Projekten. 2.	533	519
Eine weltweite Energiewende muss im Hier und Jetzt beginnen, wo Know-how und Ressourcen dafür vorhanden sind: Für Erneuerbare Energien, Effizienz und einen bewussten Umgang mit Strom, Wärme- und Antriebsenergie. Dafür gibt es vor unserer Tür gute Beispiele: Genossenschaften, die die Energieversorgung demokratisieren.	Eine solche Genossenschaft ist die "Erneuerbare Energien Lübeck eG" (EELL). Sie wurde 201 von engagierten Bürgern gegründet und hat sich seitdem zu einer bedeutenden Akteurin im Bereich erneuerbarer Energien in Schleswig-Holstein entwickelt. Die EELL verfolgt das Ziel, die regionale Versorgung mit erneuerbaren Energien wie Solarstrom, Windenergie und Biomasse zu fördern. Dazu bietet sie ihren Mitgliedern Möglichkeiten zur Beteiligung an der Erzeugung von regenerativer Energie sowie an den wirtschaftlichen Vorteilen dieser Aktivitäten. Die Genossenschaft ist in zahlreichen Projekten aktiv, die das Ziel haben, erneuerbare Energien in der Region zu verbreiten und eine nachhaltige Versorgung mit Strom und Wärme zu gewährleisten:  1. Solarparken auf Dächern von Gebäuden wie Schulen, Kindergärten oder Altenheimen, um die lokale Energieversorgung erneuerbarer Quellen anzupassen. 2.	887	1035
Ein spezielles Ablenkprisma aus einer plankonvexen Linse, in deren Kugelfläche sich eine plankonvexe Linse mit gleicher Brechung und gleichem Radius dreht. Damit ist eine veränderliche Lichtablenkung möglich.	## Literatur  * H. Busch: Optik. 3., korrigierte Auflage.	57	208
Wer etwas zu schreiben hat, ob für eine Tagung oder für einen ernsteren Anlass oder ins Blaue hinein, weiß guten Zuspruch und heitere Ironie zu schätzen. Walter Benjamins „Die Technik des Schriftstellers in dreizehn Thesen“ von 1928 hält beides bereit, kunstvoll ineinander verschränkt.	Was die Anforderungen an den Text selbst betrifft: Die Idee ist wichtiger als der formale Aufbau oder das Stilmerkmal. Der Autor sollte sich nicht durch Konventionen einschränken lassen und versuchen, seine Gedanken in einer sprachlichen Form zu präsentieren, die für ihn am leichtesten erscheint.	297	410
