Text	Predicted Label Correct Label
" es besteht ein großer anteil an jugendlichen mit psychischen problemen. " [SEP]	1	1
" # # allgemeines in der medizin besteht die ethische aufgabe der patientenverfugung, wobei die geltung des personlichen willens des patienten gegenuber dem willen des arztes geregelt ist. der patientenwille soll sich durch die ausubung des arztes bestatigen und verstarken, aber er kann auch uberwunden werden. # # typische konfliktfalle die medizinische versorgung eines patienten bezieht sich in erster linie auf die klare bestimmung der medizinischen maßnahmen, die in der jeweiligen versorgungssituation am besten zur wiederherstellung oder zur erhaltung der gesundheit fuhren. fur das ethische handeln des arztes ist die kenntnis der kulturellen und religiosen vorstellungen des patienten unabdingbar. " [SEP]	1	1
" auch der anwendungsbereich der icd - 10 wurde durch die operationalisierung erweitert. so wurde es moglich, die icd - 10 nicht nur zur diagnostik von psychischen erkrankungen einzusetzen, sondern auch als statistische basis fur viele andere bereiche wie gesundheitsforderung, pravention, gesundheitsversorgung, versorgungsforschung, epidemiologie, forschung und sozialplanung. # # einzelnachweise 1. klaus dorner, in : dorner, wolfgang, albrecht, andreas, bauer, klaus - dieter, bauer, peter, dorner, klaus, freyberger, herbert, kern, helmut, linden, dieter, moller, helmut, et al. ( hrsg. " [SEP]	1	1
" der vortrag wird in kapitel 3 mit dem momentengleichgewicht begonnen. es wird erklart, wie sich das euler - gleichungssystem aus der gleichung fur die stromung im stationaren zustand ergibt. in kapitel 4 wird dann die wellengleichung und in kapitel 5 die wellengleichung mit einem druckverlust berucksichtigt. die losung der wellengleichung wird in kapitel 6 beschrieben. in kapitel 7 wird die losung der wellengleichung mit dem druckverlust weiter ausgefuhrt und es wird gezeigt, wie sich der zustand im gesamten querschnitt verandert. die losung der wellengleichung mit dem druckverlust wird dann in kapitel 8 mit der losung der wellengleichung und der wellengleichung mit dem druckverlust verglichen. die losungen werden in kapitel 9 mit dem tragflachenprofil verglichen. " [SEP]	1	1
" auf der basis der analyse von fallbeispielen, in denen universitaten erfolgreich kompetenzmodelle entwickelt haben, werden vorschlage fur die gestaltung von modellprojekten abgeleitet. der text stellt die ergebnisse eines forschungsprojektes dar, das von der dfg - geforderten koordinationsstelle „ lehrkompetenzen “ der universitat hamburg und der universitat wuppertal im rahmen des wissensnetzwerks hochschule im auftrag der kultusministerkonferenz unterstutzt wurde. " [SEP]	1	1
" in der aktuellen wissenschaftlichen diskussion wird antidiskriminierungspadagogik als wichtiger bestandteil der antidiskriminierungsarbeit und der padagogik insgesamt verstanden. # # definitionen und konzepte # # # historische entwicklung antidiskriminierungspadagogik wurde in der zweiten halfte des 20. " [SEP]	1	1
" durch eine verletzung des blut - hirn - schranzes geschadigt wird. es gibt viele kombinationen zwischen diesen wirkmechanismen und es konnen mehrere komponenten ( wirbelsaulenverletzung, wirbelsaulenluxation, wirbelsaulenfraktur ) zusammentreffen. die kombinationen werden in der praxis haufig aufgefunden, die diagnose und therapie kann sehr schwierig sein. in der fachliteratur ist viel uber die kombinationen zu finden, aber manchmal in einem unterschied. auch wenn es sich nicht um ein buch uber die wirbelsaulenverletzungen handelt, wird man es hier haufig finden. die verletzungen des wirbelkorpers konnen durch stoße, schussverletzungen oder kantenwirkungen erfolgen. wirbel konnen komplett oder partiell zusammenbrechen oder sich in mehrere bruchstucke spalten. " [SEP]	1	1
" # # ursachen * erkrankungen des nervensystems : * neurogenetische erkrankungen ( z. b. muskeldystrophien, myasthenia gravis, myopathische formen des morbus parkinson ) * erkrankungen der peripheren nerven ( z. b. periphere polyneuropathien, morbus guillain - barre ) * erkrankungen des zentralen nervensystems ( z. b. multipler sklerose ) * infektionskrankheiten ( z. b. poliomyelitis, hiv - assoziierte myopathien ) * erkrankungen des muskelgewebes : * muskeldystrophien * myopathien ( z. b. die sogenannten „ spastischen formen “ der dystrophien, faserrissmyopathien ) * dystrophien ( z. " [SEP]	1	1
" eine abrechnung in voller hohe ist nur moglich, wenn alle leistungen dem kunden in einem einzigen vertrag zugesagt sind. ein anderer fall ist, dass der vertrag die leistung nur grob beschreibt und fur die konkrete abrechnung noch weitere leistungen angemerkt werden mussen. " [SEP]	1	1
" in welcher weise ist die partei in den ereignissen des bewegten jahres 2009 – beginnend mit dem angriff der israelischen armee auf den gazastreifen, der anschließenden \ \ \ " freedom flotilla \ \ \ " - konvoi - krise, bis hin zur deutschen regierungspolitik – in die auseinandersetzung mit den gesellschaftlichen bewegungen eingebunden? auch wenn sich in den letzten jahren die positionen der linken mit denen der globalisierungsgegner und palastina - solidaritats - bewegungen ( palestine solidarity movement – psm ) erheblich verstarkt haben, so ist es doch nur in einem vergleichsweise geringen umfang zu einer aktiven kooperation gekommen. die hier beschriebene palastinakampagne des vko, die sich in den letzten jahren in wien als zentraler schauplatz des palastinabefreiungskampfes etablierte, hat sich dabei in ihrer arbeit in der zwischenzeit immer weiter von der partei entfernt. " [SEP]	1	1
" dieses protokoll dokumentiert die intensitat des zusammenspiels und kann als „ geschriebene wahrnehmung “ im dialog mit dem coach genutzt werden, der als gegenpol im dialog agiert, um den vorgang der resonanz zu unterstutzen. # # die situation ich hatte folgende situation vor mir : * ich sitze auf einem stuhl im raum und sehe einen tisch mit zwei mannern, die dort sitzen und das coaching - ritual durchfuhren. * die tisch - kante ist etwa 1 meter von mir entfernt. " [SEP]	1	1
" die vergleichsweise junge bevolkerung in den neuen eu - landern fuhrt zu einer weiteren verschlechterung der demographischen lage. diese entwicklung lasst sich insbesondere im verhaltnis der zahl der rentner zu den erwerbstatigen ( der quote der alten auf die rentner ) ablesen. auch die deutschen lander weisen hohe quoten auf, wobei im osten deutschlands ( sachsen, sachsen - anhalt und thuringen ) die quote deutlich hoher ist als im westen ( bayern, baden - wurttemberg und hessen ). " [SEP]	1	1
" die sozialarbeit kann demzufolge erst ab dem 11. kapitel durchgefuhrt werden. die folgenden vier fragen dienen der prufung des transformationalen fuhrungsstils. 1. frage : wie verhalt sich der fuhrer und seine mitarbeiter, wenn sich ein krisenhafter vorfall ereignet? fuhrer und mitarbeiter reagieren bei krisenhafter situation unterschiedlich. der fuhrer entscheidet sich in der regel fur eine bestimmte, voraussehbare reaktion, wahrend die mitarbeiter sich in der regel umgekehrt und unvorhersehbar reagieren. 2. " [SEP]	1	1
" mit einem gewissen sinn fur tradition und vergangenheit verbindet sich bei einem blick auf die pionierzeit des automobilbaus eine gewisse hoffnung auf eine zukunft, in der die menschheit den technischen fortschritt unter kontrolle bringt. der autor hat es sich zur aufgabe gemacht, der geschichte des automobils im 20. jahrhundert ein umfassendes werk anzulegen, das sowohl die technische entwicklung der fahrzeuge und der zulieferindustrie als auch die veranderungen der sozialen und kulturellen bedingungen, unter denen die automobilindustrie entstand, erzahlt. der autor begann die arbeit an dem buch \ \ \ " die erfindung des automobils \ \ \ " schon vor mehreren jahren. es ging nicht um eine einfache reihe von monografien uber einzelthemen, wie etwa fahrzeugtechnik, wirtschaft oder marketing. stattdessen sollte der leser die geschichte des automobils als ganzes in der chronologie der entwicklungen wahrnehmen und seine kulturellen und sozialen hintergrunde verstehen. " [SEP]	1	1
" es werden dargestellt, wie sich aus der theorie der systeme eine ganzheitliche sicht auf die ursachen von problemen ergibt, und wie sie darauf aufbauend systemisch zu losen ist. habermas, j. ( 1981 ). theorie des kommunikativen handelns. frankfurt am main : suhrkamp. jung, c. g. ( 1964 ). man and his symbols. ( g. adler & r. hull, trans. ). new york : dell. kegan, r. ( 1994 ). in over our heads. the art of being wrong. cambridge, ma : harvard university press. kluckhohn, c. ( 1949 ). culture. a critical review of concepts and definitions. new york : vintage books. senge, p. ( 2006 ). the fifth discipline. the art and practice of the learning organization. new york : doubleday. " [SEP]	1	1
" die hier vorliegende studie von stefan hubner gibt einen einblick in die bedeutung und den aufbau von popitz ' arbeit. nach der demontage der wissenschaften und der universitaten durch die nationalsozialisten nach 1933 war es schwierig, sich wieder in eine akademische karriere zu integrieren. obwohl popitz in den 1950er jahren an mehreren universitaten lehrte und sich in den fachzeitschriften der soziologie und der politikwissenschaft publizierte, wurde er nicht in den wissenschaftsbetrieb integriert. popitz war immer auf der suche nach einer institution, die ihn als soziologen anerkennen wurde. " [SEP]	1	1
" was ist management? – was ist ein qualitatsmanagementsystem? – wie geht qualitatsmanagement auf? in den ersten beiden teilen des buches werden die fuhrungs - und qualitatsmanagement - konzepte erlautert und mit konkreten beispielen veranschaulicht. " [SEP]	1	1
" z. b. bmgf 2010 ; fsfn 2014 ; juku 2014 ; juku 2015 ; nichtraucherschutz 2016 ). diese studie zum thema kinderschutz und jugendschutz im internet ( vgl. bmgf 2017 ) wird den hohen nutzungsgrad des internets in deutschland im kindes - und jugendalter widerspiegeln. sie zeigen daruber hinaus, dass kindern und jugendlichen die erwerbung und benutzung von digitalen medien und technologien immer weiter gelingen und dass sie selbst diese erwerbung und benutzung fordern. societal and political changes, such as globalisation and digitalisation, have led to a shift in the structures of the labour market. in addition to traditional education, new skills and abilities are required for jobs of the future. " [SEP]	1	1
" unter verwendung der hergeleiteten methoden wurden nun die fokker - planck - gleichung und das korrespondierende master - equation in der ebene mit einigen neuen ansatzen zur verstarkungsfunktion und zur fokker - planck - gleichung untersucht. es wurden spezielle, auf der eigen - und nebenraumstruktur beruhende verstarkungsfunktionen vorgeschlagen, die fur verschiedene untersuchungsgebiete geeignet sind. die einfachsten verstarkungsfunktionen, die nur in der ebene und auf der ebene geeignet sind, wurden untersucht. dabei wurden die fokker - planck - gleichung und das master - equation - verfahren miteinander verglichen und auf der basis dieser vergleiche haben wir fur die ebene ein master - equation - verfahren in der ebene hergeleitet. " [SEP]	1	1
" daher soll dieser beitrag versuchen, die zentralen eigenschaften des mlm - systems zu identifizieren, um so die grundlage fur eine fundierte analyse zu schaffen. es ist nicht der anspruch, eine vollstandige darstellung aller, auch negativen, eigenschaften des mlm darzustellen. im gegenteil soll hier ein moglichst positives bild des mlm erstellt werden. " [SEP]	1	1
" dabei sind die ursachen oftmals nicht in der betrieblichen umwelt zu finden, sondern in den fehlern der betrieblichen prozesse. social media are becoming an increasingly important element of every day life. they are transforming the way that people communicate, shop, and even how they work. the internet is already used by almost half of the world ’ s population, and the number of internet users is growing rapidly. more and more users are moving online to find information, products, and services. social media have emerged as one of the most powerful tools for people to connect and engage with each other. studies show that people spend over 20 percent of their time online on social media and that the majority of them are active on two or more social networks. the global social media market has grown rapidly. the number of social media users worldwide is expected to reach 2. 77 billion by 2019. " [SEP]	1	1
" die typischen hemmnisse in veranderungsprozessen im folgenden werden die typischen hemmnisse in veranderungsprozessen beschrieben. " [SEP]	1	1
" material und methoden in dieser rezension werden aktuelle empfehlungen der deutschen krebsgesellschaft ( dkg ) zu molekularpathologischen aspekten bei den oben genannten tumortypen dargestellt. ergebnisse in dieser rezension werden aktuelle empfehlungen der deutschen krebsgesellschaft ( dkg ) zu molekularpathologischen aspekten bei den oben genannten tumortypen dargestellt. schlussfolgerungen die molekulare pathologie hat sich im vergangenen jahrzehnt zunehmend etabliert. der einsatz molekularpathologischer methoden in der klinischen routinediagnostik ist deshalb heute standard. " [SEP]	1	1
" kommunikation wird als ein prozess der entstehung und veranderung von gesellschaftlichen handlungs - und wertmuster, aber auch der dynamik der sozialen ungleichheit und der ausgrenzung von randgruppen verstanden. dabei wird die bedeutung der analyse des interaktionsklimas, der kultur und der sozialen ungleichheit in der medialen kommunikation hervorgehoben. die analyse von kommunikation unter digitalen bedingungen ist in der regel interdisziplinar, da sie jeweils durch die analyse von kontexten und prozessen bestimmt wird. " [SEP]	1	1
" # # dermatoskopische anamnese die erste frage, die beim patienten gestellt wird, betrifft das vorhandensein von haarausfall und erfolgt in der form : „ haben sie haarausfall oder haarausbleichung? “. " [SEP]	1	1
" wir nutzen sie im alltag auch fur unsere privatangelegenheiten. die digitalisierung ist kein thema, das sich nur aufs arbeitsumfeld beschrankt. in der privatwelt setzen wir seit jahren massiv auf das smartphone, um unsere alltaglichen aufgaben zu erledigen. und das ist in der tat ganz selbstverstandlich, denn smartphones und tablets vereinfachen unsere taglichen dinge. hinzu kommen handys und tablets im berufsalltag. dort ist man allgemein davon uberzeugt, dass digitalisierung auch unsere arbeitswelt revolutionieren wird. das hilft uns, besser zu arbeiten und unsere chancen auf dem arbeitsmarkt zu verbessern. das gleiche gilt fur das thema smart home. die smart home - technik wird es in zukunft ermoglichen, mit der hilfe einer app die aufgaben im haushalt besser zu organisieren. " [SEP]	1	1
" die technik ist einfach so teil unseres daseins geworden und ein wichtiger bestandteil unserer kultur. daher ist kaum etwas so wichtig fur die wissenschaften wie die technik. der historiker herbert jehle stellt die frage, was die technik uberhaupt ist. er antwortet : „ die technik ist ein schlusselbegriff, der in unserer zeit einen zentralen platz einnimmt. dabei ist die technik auf den ersten blick einfach definiert : die technik ist alles, was man zum zweck der erkenntnis und erschließung der welt herstellt. aber sie ist auch viel mehr : die technik ist das gesellschaftliche produkt, durch das unsere lebenswelt aufgefasst und in ihr geordnet wird. sie ist der motor unseres wachstums. die technik ist das wesen des menschen. die technik ist das leben selbst. die technik ist der mensch. die technik ist die welt. “ [ 1 ] in dieser definition wird deutlich, wie wichtig die technik fur das leben der menschen ist. " [SEP]	1	1
" 1826 – 1833, 1836 – 1839, 1842 – 1843, 1848 – 1853. søren kierkegaard, 1813 – 1855 * 1813 10. mai, in kopenhagen, getauft. * 1813 – 1830, schulbildung in kopenhagen. * 1830 – 1832, theologiestudium in kopenhagen. * 1832 – 1838, hauslehrer in horsens. * 1838 – 1840, kopenhagen, freier schriftsteller. " [SEP]	1	1
" in the past decades, studies of the holocaust have increasingly focused on the holocaust bystander. however, research into the motives and behavior of these bystanders is still in its infancy. the german - polish - israeli project “ courage to act? ” aims to address this gap and will be undertaken by an international team of researchers from the university of potsdam, the polish academy of sciences in warsaw and the ben - gurion university of the negev in beer sheva. the project is funded by the german research foundation ( dfg ) and by the german - polish foundation for science ( polsko - niemieckie forum naukowe ). “ our goal is to explore the reasons for people ’ s willingness to help, to explain why they did so, and why they did not, ” explains dr. susanne heim, professor for sociology at the university of potsdam and head of the project. the main focus is on the general conditions and individual factors that affect the decision whether to help or not. these can be social, economic, political or religious factors, for example. courage to act? " [SEP]	1	1
" eine wichtige klasse von integraloperatoren stellen die laplace - transformationen dar. " [SEP]	1	1
" darauf aufbauend wird die methodik in den kontext der energietechnik und ressourceneffizienz eingefuhrt und dargestellt, wie sie zur analyse der energieeffizienz von fabriken eingesetzt werden kann. schließlich wird die methode zur analyse des energie - und ressourceneffizienzverhaltens von fabriken anhand eines beispiels dargestellt. der abschnitt 3. 2. 1 beginnt mit der beschreibung der verschiedenen systeme, die auf der methodik aufbauen, und gibt einen uberblick uber die methodik, die sich aus den verschiedenen systemen ergibt. " [SEP]	1	1
" l ' insuffisance grave du ligament du talon d ' achille est remplacee par une autologue greffe de tendon de semitendinosus dans l ' indication de la chirurgie reparatrice. author ( s ) : derksen r, raskin j, verma p, et al. tibial tunnel placement for achilles tendon allograft reconstruction of the anterior cruciate ligament. the authors report on a technique for tibial tunnel placement for achilles tendon allograft reconstruction of the anterior cruciate ligament. author ( s ) : harris jd, feller ja, nealey me, et al. " [SEP]	1	1
" wie kann der glaube und die kirche mit ihren traditionen und institutionen und den glaubensinhalten zu diesem ansatz beitragen? wie kann die kirche mit ihrer kunst zur gestaltung dieser welt beitragen? in diesem projekt werden wir uns auf die bilder der fruhen renaissance im kontext der entwicklung der gotik, der christus - darstellung und der abstraktion befassen. wir werden versuchen, den bildraum als einheit von bild und raum zu erkennen und uns auf die bedeutung der raume fur die bildgestaltung zu konzentrieren. die arbeit wird dazu fuhren, dass wir die frage stellen, wie die kunst im dienst einer „ inklusiven “ / „ integrativen “ welt stehen kann. “ the world is in change! ” – in the recent documents like the sdgs ( sustainable development goals ) of the united nations and the encyclical laudato si ’ of pope francis the term „ integrative “ / „ inclusive “ is often spoken. " [SEP]	1	1
" verwenden accounting - und finanzwissenschaftler ( mattessich, 1982 ; boedker & sandstrom, 1992 ; smith & matsumoto, 2000 ) und linguisten ( lakoff, 1987 ; sapir, 1921 ) metaphorische analogien, um komplexe sachverhalte zu veranschaulichen. diese strategie lasst sich auf andere disziplinen ubertragen und ermoglicht die analyse von komplexen sachverhalten. die vorliegende studie untersucht den zusammenhang zwischen den sprachlichen fahigkeiten von accounting - studierenden und ihrem verstandnis von metaphorischen texten. " [SEP]	1	1
" es ist nicht schwer, das so genannte _ prinzip des _ _ zweckmaßigen _ _ verdachts _ zu begrunden : in der regel handelt es sich um eine klare und eindeutige sprache, die sich dann bei der vermittlung von informationen einfach bewahrt. angesichts der im laufe der zeit immer großer werdenden vielfalt an mathematischen konzepten und ihrer vielfaltigen anwendungen ist es leider nicht so, dass jeder mathematiker die gleiche sprache spricht. manchmal versteht man etwas anderes unter einem begriff, als es beispielsweise der mathematiker aus dem fachgebiet der funktionentheorie versteht. deshalb werden in diesem kapitel auch einzelne definitionen und resultate in unterschiedlichen kontexten behandelt. dies wird zwar nicht immer ganz einfach, aber es ist unvermeidbar. in der praambel eines mathematischen textes mochte ich manchmal eine » warnung vor der verwendung der sprache « veroffentlichen. das erklart, dass nicht alle mathematiker die gleiche sprache benutzen, und es verdeutlicht, dass man in mathematischen texten nicht auf diese weise uber die wahrheit einer aussage urteilen kann. in diesem kapitel konnen wir dennoch durchaus die sprache benutzen und einiges zum eigentlichen thema sagen. und dann ist es doch ein wichtiger teil der sprache, einfach nur zu sagen : _ ich meine, das ist so _. " [SEP]	1	1
" # # physische aktivitat grundsatzlich ist die regel, dass korperliche aktivitat wahrend der schwangerschaft keine beschrankungen erforderlich macht. die korperliche belastung sollte im wesentlichen durch sportarten erfolgen, die keine hohen belastungen durch auffallige stoße, hochfrequente bewegungen oder hohe schwerlast auslosen. " [SEP]	1	1
" # # unterteilung die unterteilung der muskellahmung erfolgt nach der ursache. die lahmung kann durch einen schlag, eine verletzung, eine infektion ( z. " [SEP]	1	1
" zunachst wird die angewandte methode vorgestellt, wobei die fragestellungen, das materiale, die teilnehmer und das forschungsprojekt sowie die empirische durchfuhrung und die datenanalyse erlautert werden. " [SEP]	1	1
" die dritte europaische aktionstagung ( az ) der netzwerkkonferenz „ exklusion und inklusion in der arbeitswelt “ fand in den tagen 12. – 14. oktober 2017 in wien statt. sie wurde vom osterreichischen forschungsverein zur forderung der gleichbehandlung von frauen und mannern ( forderverein ) und vom institut fur sozialwissenschaften der universitat wien organisiert. ein weiteres ergebnis der az war die einladung der netzwerkkonferenz zur european association of work and organizational psychology ( eawop ) in amsterdam im mai 2018. " [SEP]	1	1
" die beurteilung der rohdaten sollte in jedem arztpraxis - system erfolgen, wobei es sich um eine sehr unkomplizierte und sehr kosteneffiziente technik handelt. die rohdaten - bewertung ist eine einfache, leicht ablesbare reihe von proportionen ( z. b. verhaltnis von positiven und negativen befunden ) und ist die grundlage fur die ahnlichkeitsbeurteilung, um festzustellen, ob die leistung einer arztin / eines jeden befundenden arzt im vergleich zu den anderen arztinnen / arzte in seiner / ihres praxis gunstig ist. es gibt nur zwei bedingungen, die vor der beurteilung der rohdaten erfullt sein mussen : 1. " [SEP]	1	1
" # # drei - parteien - system das drei - parteien - system beinhaltet * eine kartenausgebende bank ( engl. issuer ) * eine kartenausgebende organisation ( engl. issuer ) * eine kartenausgebende ( engl. issuer ) # # vier - parteien - system das vier - parteien - system beinhaltet * eine kartenausgebende bank ( engl. " [SEP]	1	1
" die verbesserung der diabetischen therapie resultiert vor allem aus dem fortschritt der erkenntnisse uber die erkrankung selbst. die arzneimitteltherapie des diabetes mellitus hat sich in den letzten jahren stark verandert. die pharmakotherapie hat den diabetiker im 21. " [SEP]	1	1
" integrativer organisations - und prozessmodelle und des netzwerkmanagements liefert, berucksichtigt. in dem artikel der ieee computer, welches in den letzten kapiteln zitiert wurde, wird der „ new science “ genannt, dessen entwicklung in den nachsten jahren voranschreiten soll. " [SEP]	1	1
" dass die massen schulbildung erhalten soll, ist ein neuerungen des 19. jahrhunderts. die modernen bildungssysteme sind in der regel durch die einfuhrung der allgemeinen schulpflicht gekennzeichnet. die moderne bildungspolitik ist ein mittel, mit dem man soziale ungleichheit begrenzen will. der aufstieg des bildungsstaates ist ein wesentlicher bestandteil der modernisierung europas. die geschichte des modernen bildungssystems zeichnet sich durch eine kombination aus sozialen und politischen innovationen aus. die einfuhrung der allgemeinen schulpflicht ist eine soziale innovation. sie beeinflusst die gesellschaft durch ihre veranderung der sozialen mobilitat. die gesetze, die fur die allgemeine schulpflicht sorgen, sind jedoch nur ein teil der bildungspolitik. bildungspolitik verfolgt die ziele, die sozialen ungleichheiten zu reduzieren, und es besteht ein zusammenhang zwischen bildungspolitik und bildung. es ist unmoglich, ein bildungssystem ohne bildungspolitik zu beschreiben. die geschichte des modernen bildungssystems ist der aufstieg des bildungsstaates. " [SEP]	1	1
" die videobandbreite betragt bei 480i und 576i ca. 3. 58 mhz und bei 480p ca. 4. 2 mhz. " [SEP]	1	1
" foucault ' s pendulum is an intellectual thriller. its narrator, the great italian publisher casaubon, is visiting the grave of his ex - wife, when he is approached by a mysterious stranger. this man claims to know of a mysterious and ancient text, which he calls ' the key to all conspiracies '. " [SEP]	1	1
" die betreuung kann auf antrag des betroffenen oder eines dritten oder einseitig durch den betreuer angeordnet werden. der betreuungsausschuss besteht aus zwei betreuungsratsmitgliedern und einem richter. er entscheidet in den angelegenheiten der betreuung. die entscheidung ist unanfechtbar. " [SEP]	1	1
" b. pusch et al. 2007 ). in der forschung wurde dieser zeitraum oft als ' kindergartenjahr ' oder ' kindergartenphase ' bezeichnet ( bauer et al. 2009 ). im rahmen dieses projektes soll dieser zeitraum neu definiert werden, indem er auf die phase des schulanfangs, und nicht auf den kindergarten, ausgerichtet wird. dabei geht es nicht nur um die veranderung des lebensabschnitts, sondern auch um die veranderung des kindes selbst. # # phase und phasenubergang die schule ist nicht nur eine institution, sondern auch eine organisation, in der menschen unterschiedliche funktionen erfullen. " [SEP]	1	1
" im rahmen des rationalisierungs - und verwaltungsvereinfachungsprozesses ( 1980er - jahre ) begann man dann wieder, offentlich - rechtliche vertrage zu akzeptieren. die europaische umweltvertraglichkeitsprufung ( uvp ) ist ein offizieller vorschlag fur die planung, die durch umweltvertraglichkeitsprufung ( uvp ) in einem umweltvertraglichkeitsbeschluss ( uvb ) durch die betroffenen behorden erfolgt. die uvp umfasst das verfahren der prufung von planungsantragen, dem planungsprozess, der im planungsverfahren einzuhalten ist. im rahmen der europaischen union wurde die uvp als ein mittel zur umsetzung von umweltrecht entwickelt. der „ vertrag uber die europaische union “ und das „ umweltrecht “ verlangen, dass jeder mitgliedstaat die voraussetzungen schafft, dass fur jedes prozess der planung die uvp durchgefuhrt wird. in deutschland ist es dem umweltministerium der lander nach der „ umweltvertraglichkeitsprufungsverordnung “ ( uvpg ) uberlassen, sich der umweltvertraglichkeit von planungen zu stellen. die uvp wird im rahmen der planung durchgefuhrt, die uvb liegt dem planungsbeschluss vor. die uvpg ist in der rechtsgrundlage des bundes angesiedelt, wahrend die umsetzung und die durchfuhrung der uvp auf der ebene der lander erfolgt. die ausfuhrung der uvp hat den zweck, „ die umweltvertraglichkeit einer planung nach der amtlichen rechtslage festzustellen “. es wird gepruft, ob die planung in ubereinstimmung mit den gesetzlichen bestimmun	1	1
" das wesentliche bauteil des windkanals ist eine modulstruktur, die den anschluss von verschiedenen probelaufkorpern mit unterschiedlichen maßen ermoglicht. um diesen anschluss moglichst einfach zu halten, wurden die anschlussbereiche fur probelaufkorper mit einem profilkran und die fluidprofiler mit kugelventilen ausgerustet. " [SEP]	1	1
